"Tipo_Aquisicao","Municipio","Origem","Comarca","Conta_Contabil","Qtd_Comprada","Valor_a_receber","Valor_Comprado"
"Outros","Agreste","SUS","Recife","ANTIMICROBIANOS",390,0,593463
"Outros","Grande_recife","FILANTRÓPICO","Recife","NUTRIÇÃO",250,0,"582.5"
"Outros","Agreste","SUS","JFPE","MEDICAMENTOS",32,0,"82.88"
"Outros","Agreste","SUS","Recife","MEDICAMENTOS",30,0,"35.1"
"Outros","Grande_recife","PRIVADO","Recife","MEDICAMENTOS",20,0,"1971.6"
"Outros","Grande_recife","PRIVADO","JFPE","MEDICAMENTOS CONTROLADOS",120,0,222
"Outros","Grande_recife","SUS","Recife","MEDICAMENTOS",180,0,"3016.8"
"Outros","Agreste","SUS","JEFPC","MEDICAMENTOS",3,0,"7664.79"
"Outros","Grande_recife","SUS","Olinda","MEDICAMENTOS",2,0,"36.52"
"Outros","Zona_da_mata","SUS","JFPE","MEDICAMENTOS",360,0,"49651.2"
"Outros","Agreste","SUS","JFPE","MEDICAMENTOS CONTROLADOS",90,0,117
"Outros","Sertao","SUS","Jaboatao","MEDICAMENTOS CONTROLADOS",60,0,"928.8"
"Adesão","Grande_recife","FILANTRÓPICO","Recife","MEDICAMENTOS",1100,0,1870
"Pregão","Zona_da_mata","SUS","Recife","MEDICAMENTOS",2240,"363008.52","1075580.8"
"Dispensa","Zona_da_mata","PRIVADO","Recife","MEDICAMENTOS",360,"14126.4","14126.4"
"Dispensa","Grande_recife","SUS","TJPE","MEDICAMENTOS",54,57267,57267
"Outros","Agreste","PRIVADO","Recife","MEDICAMENTOS",60,0,837
"Outros","Sertao","SUS","JEFPC","MEDICAMENTOS",28,0,"2916.48"
"Outros","Grande_recife","PRIVADO","TJPE","MEDICAMENTOS",42,0,"8814.12"
"Outros","Sertao","FILANTRÓPICO","Recife","MEDICAMENTOS",56,0,"161.28"
"Outros","Grande_recife","NÃO INFORMADO","TJPE","MEDICAMENTOS",90,0,"24103.8"
"Outros","Grande_recife","FILANTRÓPICO","Jaboatao","MEDICAMENTOS",4,0,"4150.8"
"Outros","Grande_recife","SUS","Jaboatao","MEDICAMENTOS CONTROLADOS",660,0,"151.8"
"Outros","Grande_recife","SUS","Olinda","NUTRIÇÃO",36800,0,18032
"Outros","Zona_da_mata","SUS","TJPE","NUTRIÇÃO",7200,0,3528
"Outros","Agreste","SUS","Recife","NUTRIÇÃO",5,0,"343.05"
"Outros","Grande_recife","SUS","JEFPC","MATERIAL MEDICO HOSPITALAR",56,0,"58.8"
"Outros","Agreste","SUS","TJPE","MEDICAMENTOS",15,0,"172.2"
"Outros","Agreste","SUS","Recife","NUTRIÇÃO",1600,0,784
"Outros","Grande_recife","SUS","TJPE","NUTRIÇÃO",8000,0,1120
"Outros","Grande_recife","SUS","Jaboatao","MATERIAL MEDICO HOSPITALAR",97,0,"101.85"
"Outros","Grande_recife","PRIVADO","Jaboatao","MATERIAL MEDICO HOSPITALAR",150,0,"280.5"
"Outros","Agreste","SUS","Olinda","MEDICAMENTOS",180,0,33489
"Outros","Grande_recife","SUS","Olinda","MEDICAMENTOS CONTROLADOS",60,0,"12.6"
"Outros","Zona_da_mata","PRIVADO","Recife","MEDICAMENTOS CONTROLADOS",90,0,"898.2"
"Outros","Agreste","SUS","Recife","MEDICAMENTOS CONTROLADOS",180,0,"397.8"
"Outros","Sertao","FILANTRÓPICO","JFPE","MEDICAMENTOS CONTROLADOS",30,0,"196.8"
"Outros","Grande_recife","FILANTRÓPICO","Recife","MEDICAMENTOS",240,0,"1327.2"
"Outros","Zona_da_mata","FILANTRÓPICO","Recife","MEDICAMENTOS",180,0,"24825.6"
"Adesão","Zona_da_mata","FILANTRÓPICO","JFPE","MEDICAMENTOS",60,0,"310628.4"
"Pregão","Grande_recife","FILANTRÓPICO","Recife","MEDICAMENTOS",150,0,47997
"Pregão","Agreste","SUS","JEFPC","MEDICAMENTOS",83,0,"211587.75"
"Pregão","Sertao","NÃO INFORMADO","Olinda","MEDICAMENTOS",1080,0,116910
"Pregão","Grande_recife","SUS","JFPE","MEDICAMENTOS",504,0,"66507.84"
"Pregão","Sertao","FILANTRÓPICO","JFPE","MEDICAMENTOS",546,"6055.14","78716.82"
"Pregão","Grande_recife","FILANTRÓPICO","Jaboatao","MEDICAMENTOS",3920,0,"21638.4"
"Adesão","Grande_recife","SUS","Recife","MEDICAMENTOS",5138,0,565180
"Pregão","Grande_recife","SUS","Recife","MEDICAMENTOS",9000,0,5220
"Adesão","Grande_recife","NÃO INFORMADO","Recife","MEDICAMENTOS",1800,0,45270
"Pregão","Zona_da_mata","FILANTRÓPICO","TJPE","MEDICAMENTOS",1680,0,"318343.2"
"Pregão","Agreste","NÃO INFORMADO","Recife","MEDICAMENTOS",600,0,"21658.02"
"Pregão","Grande_recife","SUS","JEFPC","MEDICAMENTOS",2100,0,1113
"Pregão","Agreste","SUS","TJPE","MEDICAMENTOS",940,0,"1485.2"
"Pregão","Agreste","SUS","Recife","MEDICAMENTOS",340,0,"3253.8"
"Pregão","Grande_recife","SUS","TJPE","MEDICAMENTOS CONTROLADOS",4500,0,"2100.15"
"Pregão","Grande_recife","SUS","Jaboatao","MEDICAMENTOS CONTROLADOS",6480,0,3650184
"Adesão","Grande_recife","FILANTRÓPICO","Jaboatao","MEDICAMENTOS",840,"43982.4","43982.4"
"Outros","Agreste","SUS","Olinda","MEDICAMENTOS",1650,0,"23017.5"
"Outros","Grande_recife","FILANTRÓPICO","Olinda","MEDICAMENTOS",140,0,"29380.4"
"Outros","Zona_da_mata","SUS","Recife","MEDICAMENTOS",190,0,"2044.4"
"Outros","Agreste","PRIVADO","Recife","MEDICAMENTOS CONTROLADOS",210,0,"2095.8"
"Pregão","Sertao","SUS","JFPE","MEDICAMENTOS",58,0,"93253.56"
"Outros","Grande_recife","SUS","Recife","MEDICAMENTOS",100,0,79
"Outros","Zona_da_mata","NÃO INFORMADO","Recife","MEDICAMENTOS",2,0,"901.88"
"Outros","Zona_da_mata","SUS","JFPE","MEDICAMENTOS",1,0,"9342.9"
"Adesão","Grande_recife","SUS","Recife","MEDICAMENTOS",60000,0,4182600
"Pregão","Agreste","SUS","JEFPC","MEDICAMENTOS",490,0,25235
"Pregão","Sertao","SUS","Olinda","MEDICAMENTOS",20,0,"7435.6"
"Pregão","Grande_recife","PRIVADO","JFPE","MEDICAMENTOS",7200,0,7344
"Outros","Sertao","SUS","JFPE","MEDICAMENTOS",25,0,"50717.5"
"Outros","Grande_recife","NÃO INFORMADO","Jaboatao","MEDICAMENTOS",13,0,"121457.7"
"Pregão","Grande_recife","SUS","Recife","MEDICAMENTOS",1090,0,"1368527.7"
"Pregão","Grande_recife","SUS","Recife","MATERIAL MEDICO HOSPITALAR",160000,0,70400
"Outros","Grande_recife","FILANTRÓPICO","Recife","ANTIMICROBIANOS",6,0,1074
"Outros","Zona_da_mata","PRIVADO","TJPE","MEDICAMENTOS",28,0,"36900.36"
"Outros","Agreste","FILANTRÓPICO","Recife","MEDICAMENTOS",16,0,"27626.56"
"Outros","Grande_recife","NÃO INFORMADO","JEFPC","MEDICAMENTOS",1320,0,"17780.4"
"Outros","Agreste","SUS","TJPE","MEDICAMENTOS",28,0,"2916.48"
"Outros","Agreste","PRIVADO","Recife","MEDICAMENTOS",15,0,"6764.1"
"Outros","Grande_recife","FILANTRÓPICO","TJPE","MEDICAMENTOS",120,0,"16.8"
"Outros","Grande_recife","SUS","Jaboatao","MEDICAMENTOS",600,0,42378
"Outros","Grande_recife","PRIVADO","Jaboatao","MEDICAMENTOS",84,0,"40334.28"
"Outros","Agreste","SUS","Olinda","MEDICAMENTOS",30,0,"322.8"
"Outros","Grande_recife","SUS","Olinda","MEDICAMENTOS CONTROLADOS",81,0,"120.69"
"Outros","Zona_da_mata","SUS","Recife","MEDICAMENTOS CONTROLADOS",120,0,"1197.6"
"Outros","Agreste","FILANTRÓPICO","Recife","MEDICAMENTOS CONTROLADOS",364,0,"152.88"
"Adesão","Sertao","FILANTRÓPICO","JFPE","MEDICAMENTOS CONTROLADOS",900,0,378
"Adesão","Grande_recife","FILANTRÓPICO","Recife","MEDICAMENTOS",360,720,720
"Outros","Zona_da_mata","SUS","Recife","MEDICAMENTOS",22,0,"593.78"
"Outros","Zona_da_mata","SUS","JFPE","MEDICAMENTOS",30,0,"322.8"
"Outros","Grande_recife","NÃO INFORMADO","Recife","MEDICAMENTOS",470,0,"48790.7"
"Outros","Agreste","FILANTRÓPICO","JEFPC","MEDICAMENTOS",2,0,"504532.86"
"Outros","Sertao","SUS","Olinda","MEDICAMENTOS",3,0,"749469.06"
"Outros","Grande_recife","SUS","JFPE","MEDICAMENTOS",9,0,"242.91"
"Outros","Sertao","SUS","JFPE","NUTRIÇÃO",8400,0,4116
"Outros","Grande_recife","FILANTRÓPICO","Jaboatao","MATERIAL MEDICO HOSPITALAR",60,0,"627.6"
"Outros","Grande_recife","NÃO INFORMADO","Recife","MEDICAMENTOS",16,0,"8657.76"
"Outros","Grande_recife","SUS","Recife","MEDICAMENTOS",20,0,"539.8"
"Outros","Grande_recife","FILANTRÓPICO","Recife","MEDICAMENTOS",28,0,"43.4"
"Pregão","Zona_da_mata","FILANTRÓPICO","TJPE","MEDICAMENTOS",1500,0,150
"Outros","Agreste","SUS","Recife","MEDICAMENTOS",210,0,"390142.2"
"Outros","Grande_recife","NÃO INFORMADO","JEFPC","ANTIMICROBIANOS",15,0,2685
"Outros","Agreste","PRIVADO","TJPE","MEDICAMENTOS",2,0,70
"Outros","Agreste","NÃO INFORMADO","Recife","MEDICAMENTOS CONTROLADOS",30,0,"299.4"
"Outros","Grande_recife","SUS","TJPE","MATERIAL MEDICO HOSPITALAR",320,0,1600
"Outros","Grande_recife","SUS","Jaboatao","MEDICAMENTOS",84,0,"803882.52"
"Adesão","Grande_recife","PRIVADO","Jaboatao","MATERIAL MEDICO HOSPITALAR",12000,0,3240
"Pregão","Agreste","SUS","Olinda","NUTRIÇÃO",14400,0,15696
"Pregão","Grande_recife","SUS","Olinda","NUTRIÇÃO",57600,0,8064
"Pregão","Zona_da_mata","FILANTRÓPICO","Recife","NUTRIÇÃO",38400,0,9216
"Outros","Agreste","SUS","Recife","EQUIPAMENTOS HOSPITALARES / MOBILIÁRIOS",1,0,"10571.43"
"Outros","Sertao","FILANTRÓPICO","JFPE","MEDICAMENTOS",600,0,1992
"Outros","Grande_recife","SUS","Recife","MEDICAMENTOS",84,0,"141.96"
"Outros","Zona_da_mata","FILANTRÓPICO","Recife","MEDICAMENTOS",336,0,"40716.48"
"Outros","Zona_da_mata","FILANTRÓPICO","JFPE","ANTIMICROBIANOS",600,0,1026
"Outros","Grande_recife","SUS","Recife","MEDICAMENTOS CONTROLADOS",60,0,"598.8"
"Outros","Agreste","NÃO INFORMADO","JEFPC","MEDICAMENTOS",168,0,"40686.24"
"Dispensa","Sertao","SUS","Olinda","NUTRIÇÃO",19200,0,"921.6"
"Dispensa","Grande_recife","SUS","JFPE","MEDICAMENTOS",4,0,"1188611.32"
"Pregão","Sertao","PRIVADO","JFPE","NUTRIÇÃO",57600,0,14112
"Outros","Grande_recife","SUS","Jaboatao","MEDICAMENTOS",94,0,"863941.78"
"Outros","Grande_recife","SUS","Recife","MEDICAMENTOS",60,0,"11.4"
"Pregão","Grande_recife","SUS","Recife","MEDICAMENTOS",6,0,"270.96"
"Outros","Grande_recife","SUS","Recife","MATERIAL MEDICO HOSPITALAR",98,0,"153.86"
"Outros","Zona_da_mata","SUS","TJPE","MEDICAMENTOS",240,0,"16725.6"
"Outros","Agreste","FILANTRÓPICO","Recife","MEDICAMENTOS",1000,0,740
"Outros","Grande_recife","FILANTRÓPICO","JEFPC","MEDICAMENTOS",360,0,"190.8"
"Outros","Agreste","SUS","TJPE","MEDICAMENTOS",120,0,22326
"Outros","Agreste","PRIVADO","Recife","MEDICAMENTOS",112,0,"322.56"
"Outros","Grande_recife","FILANTRÓPICO","TJPE","MEDICAMENTOS",100,0,19
"Outros","Grande_recife","SUS","Jaboatao","MEDICAMENTOS",28,0,"154.56"
"Outros","Grande_recife","NÃO INFORMADO","Jaboatao","MEDICAMENTOS",240,0,"16951.2"
"Outros","Agreste","FILANTRÓPICO","Olinda","MEDICAMENTOS CONTROLADOS",112,0,"137.76"
"Outros","Grande_recife","FILANTRÓPICO","Olinda","MEDICAMENTOS CONTROLADOS",120,0,96
"Outros","Zona_da_mata","PRIVADO","Recife","MEDICAMENTOS CONTROLADOS",81,0,"120.69"
"Outros","Agreste","FILANTRÓPICO","Recife","MEDICAMENTOS CONTROLADOS",210,0,"270.9"
"Outros","Sertao","FILANTRÓPICO","JFPE","MEDICAMENTOS CONTROLADOS",30,0,"299.4"
"Outros","Grande_recife","FILANTRÓPICO","Recife","MEDICAMENTOS CONTROLADOS",180,0,"84.6"
"Outros","Zona_da_mata","SUS","Recife","MEDICAMENTOS CONTROLADOS",1500,0,840
"Pregão","Zona_da_mata","SUS","JFPE","NUTRIÇÃO",9600,8736,8736
"Pregão","Grande_recife","PRIVADO","Recife","NUTRIÇÃO",360000,9540,9540
"Pregão","Agreste","PRIVADO","JEFPC","NUTRIÇÃO",12600,0,13797
"Pregão","Sertao","FILANTRÓPICO","Olinda","NUTRIÇÃO",28800,0,13824
"Outros","Grande_recife","FILANTRÓPICO","JFPE","MEDICAMENTOS",2,0,"22.8"
"Outros","Sertao","FILANTRÓPICO","JFPE","MEDICAMENTOS",1,0,"450.94"
"Outros","Grande_recife","SUS","Jaboatao","MEDICAMENTOS",2,0,"363.4"
"Outros","Grande_recife","SUS","Recife","MEDICAMENTOS CONTROLADOS",280,0,"344.4"
"Outros","Grande_recife","FILANTRÓPICO","Recife","NUTRIÇÃO",12400,0,6076
"Outros","Grande_recife","SUS","Recife","MEDICAMENTOS",720,0,51444
"Outros","Zona_da_mata","PRIVADO","TJPE","MEDICAMENTOS",2,0,"901.88"
"Outros","Agreste","PRIVADO","Recife","MEDICAMENTOS",2,0,"2117.42"
